_id,created_at,name,username,message,link,link_image,likes_count,shares_count,comments_count,type,views,user_link,id_post,date,hour,weekday,reactions_count,query
647640debbad6288ac997338,2023-03-10 15:56:41,Futven TV,futven_tv,#OFICIAL #fvf | . ,https://twitter.com/futven_tv/status/1634221745333841921,['https://pbs.twimg.com/media/Fq3r4n6WYAIUmUM?format=jpg&name=small'],1,0,0,carrusel,14,https://twitter.com/futven_tv,1634221745333841921,2023-03-10,11,Viernes,1,fvf
647640debbad6288ac997339,2023-03-10 15:54:28,KinLII,KingsLiiiii,Viejo jalabolas! JAJAAJA   pidiéndole trabajo al presidente de la FVF | . ,https://twitter.com/KingsLiiiii/status/1634221190620274688,['https://pbs.twimg.com/media/Fq3rZMnWwAAyKQr?format=jpg&name=small'],0,0,0,carrusel,111,https://twitter.com/KingsLiiiii,1634221190620274688,2023-03-10,11,Viernes,0,fvf
647640debbad6288ac99733a,2023-03-10 15:54:18,Últimas Noticias,UNoticias," #AHORA | Fernando “Bocha” Batista es el nuevo seleccionar nacional de la Vinotinto anunció Jorge Giménez, presidente FVF.

Será ""junto Leandro Cufré, Jorge Pidal y Vicente Rosales a los que pido den todo el apoyo”. | . 🔵",https://twitter.com/UNoticias/status/1634221148064841736,['https://pbs.twimg.com/media/Fq3reS9XgAACXnJ?format=jpg&name=small'],23,35,4,carrusel,18561,https://twitter.com/UNoticias,1634221148064841736,2023-03-10,11,Viernes,62,fvf
647640debbad6288ac99733b,2023-03-10 15:54:11,Humberto Perozo Suárez,kikoperozo,"Giménez está detrás de una trinchera: “No puedo hablar sobre el caso Lezcano - Pékerman. Está en manos de nuestros abogados”, es la premisa del presidente de la FVF. | . ",https://twitter.com/kikoperozo/status/1634221119216447488,['https://pbs.twimg.com/profile_images/1565880914869161984/zpTVl_Qr_normal.jpg'],12,3,0,image,2267,https://twitter.com/kikoperozo,1634221119216447488,2023-03-10,11,Viernes,15,fvf
647640debbad6288ac99733c,2023-03-10 15:54:10,Jesús E. Cárdenas ,JesusCardenas90,37 minutos después aún no comienza oa Rueda de Prensa de la #FVF. | . ,https://twitter.com/JesusCardenas90/status/1634221112702672903,[],0,1,0,carrusel,261,https://twitter.com/JesusCardenas90,1634221112702672903,2023-03-10,11,Viernes,1,fvf
647640debbad6288ac99733d,2023-03-10 15:53:42,El Espectador de Caracas,espectadorccs,"FVF anunció como nuevo DT de la Vinotinto a Fernando Batista 
https://elespectadordecaracas.com/?p=110779&feed_id=22492… | . ",https://twitter.com/espectadorccs/status/1634220996239450112,['https://pbs.twimg.com/media/Fq3rVghWIAcgRVY?format=jpg&name=small'],0,0,0,carrusel,179,https://twitter.com/espectadorccs,1634220996239450112,2023-03-10,11,Viernes,0,fvf
647640debbad6288ac99733e,2023-03-10 15:53:24,Sello Deportivo,SelloDeportivo1,"Jorge Giménez: ""el fútbol venezolano, los jugadores, nuestra camiseta, nuestra afición se respetan""

#Vinotinto @SeleVinotinto @FVF_Oficial | . ",https://twitter.com/SelloDeportivo1/status/1634220919143931904,['https://pbs.twimg.com/media/Fq3rJbGXwAAtD_o?format=jpg&name=small'],5,0,0,carrusel,107,https://twitter.com/SelloDeportivo1,1634220919143931904,2023-03-10,11,Viernes,5,fvf
647640debbad6288ac99733f,2023-03-10 15:53:01,Sports Venezuela,SportsVZLA2,El presidente de la FVF confirma a Fernando Batista como el nuevo DT de la Vinotinto. Su contrato es por cuatro años | . ,https://twitter.com/SportsVZLA2/status/1634220824168132611,['https://pbs.twimg.com/media/Fq3rG7oWYAMUcH4?format=jpg&name=small'],51,14,0,carrusel,1929,https://twitter.com/SportsVZLA2,1634220824168132611,2023-03-10,11,Viernes,65,fvf
647640debbad6288ac997340,2023-03-10 15:52:38,Meridiano,MeridianoTV,Fernando Batista es nombrado por la @FVF_Oficial  como el nuevo director técnico de la @SeleVinotinto  | . ⚽️ 🇻🇪,https://twitter.com/MeridianoTV/status/1634220728189943812,['https://pbs.twimg.com/media/Fq3qWdcXoAApDqr?format=jpg&name=small'],175,81,32,carrusel,33028,https://twitter.com/MeridianoTV,1634220728189943812,2023-03-10,11,Viernes,288,fvf
647640debbad6288ac997341,2023-03-10 15:50:11,locoxelfutbolGT,LocoxelFutbol_,OFICIAL || Fernando Batista es el nuevo seleccionador de Venezuela. Lo acaba de anunciar el presidente de la FVF Jorge Gimenez en rueda de prensa. Lo acompañan en su cuerpo técnico Leandro Cufré y Vicente Rosales. | . ,https://twitter.com/LocoxelFutbol_/status/1634220111820120066,['https://pbs.twimg.com/media/Fq3qh-TWAAIcr4A?format=jpg&name=small'],0,0,0,carrusel,174,https://twitter.com/LocoxelFutbol_,1634220111820120066,2023-03-10,11,Viernes,0,fvf
647640debbad6288ac997342,2023-03-10 15:50:11,Fútbol Basado,FutbolBasado,"Los canales nacionales no transmiten la rueda de prensa del presidente de la FVF para dar razón del futuro de la selección, más allá del desinterés que siempre tuvieron y que maquillan eventualmente, luego se quejan que no tienen los derechos para cubrir el #futve | . ",https://twitter.com/FutbolBasado/status/1634220109932941312,['https://pbs.twimg.com/profile_images/1345052555034947590/XbvbnnBn_normal.jpg'],1,0,0,image,42,https://twitter.com/FutbolBasado,1634220109932941312,2023-03-10,11,Viernes,1,fvf
647640debbad6288ac997343,2023-03-10 15:49:55,Joel Casanova Ramírez,joelcasanova,"""Un proceso en marcha que no permite hablar mucho sobre el tema. Pero evidentemente hubo una ruptura de contrato y generamos un contrato nuevo"" explicó Giménez @FVF_Oficial | . ",https://twitter.com/joelcasanova/status/1634220044539383810,['https://pbs.twimg.com/profile_images/1645163898264252418/HCR4fBo-_normal.jpg'],1,0,0,image,96,https://twitter.com/joelcasanova,1634220044539383810,2023-03-10,11,Viernes,1,fvf
647640debbad6288ac997344,2023-03-10 15:49:46,Gabriel Chacón,gabriel986,"Es una vergüenza total que no haya un solo canal de TV venezolano que este transmitiendo la rueda de prensa de la FVF, ni los de noticias, ni los deportivos, ni los que suelen transmitir a la selección. Y eso que es solo conectarse al stream, ni siquiera tenían que mandar a nadie | . ",https://twitter.com/gabriel986/status/1634220008229203968,['https://pbs.twimg.com/profile_images/2696343059/1b38ba1dec94ebb723237db965bfd603_normal.png'],0,1,0,image,77,https://twitter.com/gabriel986,1634220008229203968,2023-03-10,11,Viernes,1,fvf
647640debbad6288ac997345,2023-03-10 15:49:41,Kevin Mora,KevinMoraF,"“Estoy aquí para anunciar quién estará al frente de nuestra Selección. Será Fernando Batistas, junto Leandro Cufré, Jorge Pidal y Vicente Rosales a los que pido den todo el apoyo” Jorge Giménez, Presidente FVF

Bocha Batista nuevo DT de La Vinotinto | . ",https://twitter.com/KevinMoraF/status/1634219985634742283,['https://pbs.twimg.com/media/Fq3qURWX0AUVAhA?format=png&name=small'],2,2,1,carrusel,447,https://twitter.com/KevinMoraF,1634219985634742283,2023-03-10,11,Viernes,5,fvf
647640debbad6288ac997346,2023-03-10 15:49:39,Ricky,RicardoBufalino,Me parece acertado que la FVF decida continuar con Fernando Batista como DT. | . ,https://twitter.com/RicardoBufalino/status/1634219977157795841,['https://pbs.twimg.com/profile_images/1293992350331674624/_Rt2MaZG_normal.jpg'],0,0,0,image,178,https://twitter.com/RicardoBufalino,1634219977157795841,2023-03-10,11,Viernes,0,fvf
647640debbad6288ac997347,2023-03-10 15:49:32,Abraham Medina,Abrahamdmedina,"FVF: Fernando ""Bocha"" Batista, el nuevo DT de la selección nacional absoluta masculina de fútbol. 

""No vamos a trabajar con nadie que no se tome en serio nuestros colores, con quien no respete nuestra camiseta"", señaló en RDP Jorge Giménez. 

 | . 🇻🇪 ⚽️",https://twitter.com/Abrahamdmedina/status/1634219947944493056,[],0,0,0,carrusel,56,https://twitter.com/Abrahamdmedina,1634219947944493056,2023-03-10,11,Viernes,0,fvf
