Source,Target,Type,Id,Label,Weight,Color
SegaBros09,MaeloGmz,Directed,271,,1,"#000000"
jose_osorio26,klon_perez,Directed,272,,0.5,"#000000"
KV_Keivert,klon_perez,Directed,274,,0.5,"#000000"
GianniSantucci8,CaracasFC1967,Directed,276,,0.5,"#000000"
Nelson19272304,klon_perez,Directed,278,,0.5,"#000000"
Nelson19272304,ChiguireBipolar,Directed,279,,0.5,"#000000"
Nelson19272304,zuricht94,Directed,280,,0.5,"#000000"
Nelson19272304,Simonovis,Directed,281,,0.5,"#000000"
Csarmarcano7,VTVcanal8,Directed,283,,0.5,"#000000"
DarVan_5891,ErasmoProvenza,Directed,286,,1,"#000000"
DelgadoMiguel97,MoralesGabriel_,Directed,287,,2,"#000000"
MundoVenex,SOLOVENEX_,Directed,289,,0.5,"#000000"
MundoVenex,ErasmoProvenza,Directed,290,,0.5,"#000000"
MundoVenex,idiomafutve,Directed,291,,0.5,"#000000"
MundoVenex,foro_todofutbol,Directed,292,,0.5,"#000000"
MundoVenex,klon_perez,Directed,293,,0.5,"#000000"
MundoVenex,aranguismo18,Directed,294,,0.5,"#000000"
MundoVenex,OswaldoVivenes,Directed,295,,0.5,"#000000"
MundoVenex,carlostaracher,Directed,297,,0.5,"#000000"
MundoVenex,AlfredoCoronis,Directed,298,,0.5,"#000000"
MundoVenex,Naranjazos10,Directed,299,,0.5,"#000000"
MundoVenex,pulidojorge,Directed,300,,0.5,"#000000"
MundoVenex,FutVe_Goleador,Directed,301,,0.5,"#000000"
MundoVenex,MarioSanchezVe,Directed,302,,0.5,"#000000"
MundoVenex,tenordelgol,Directed,303,,0.5,"#000000"
MundoVenex,notivinotinto_1,Directed,304,,0.5,"#000000"
MundoVenex,ManoloDavilatv,Directed,305,,0.5,"#000000"
MundoVenex,avilchezve,Directed,306,,0.5,"#000000"
MundoVenex,Karlapgil,Directed,307,,0.5,"#000000"
jesusrojas6101,carlostaracher,Directed,310,,1,"#000000"
LCRN01,joelcasanova,Directed,312,,1,"#000000"
