_id,message_clean,followers,followings,listed_count,favourites_count,likes_count,retweet_count,quote_count,comments_count,reactions_count,count_user,statuses_count,Degree,pageranks_desnormalizado,indice_influencia
646d2f52bde86ad3421316f9,resultados repasamos marcadores momento paraguay pone freno argentina 00 venezuela sorprende chile 02,4,15,0,40,1,1,0,0,2,4,249,1.0,0.0081,0.12905
646d2f52bde86ad3421316fa,doy credito fvf ademas decidio dejar bocha,31,108,0,1099,1,0,0,0,1,12,1098,10.0,0.0119,0.059500000000000004
646d2f52bde86ad3421316fb,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,7281,804,56,71980,0,0,0,0,0,39,58412,19.0,0.0081,0.07694999999999999
646d2f52bde86ad3421316fc,presidente fvf anuncio estadio maturin sera sede primer juego local vinotinto,447463,494,1807,230,1,1,0,0,2,31,3089668,6.0,0.0225,0.08362903225806452
646d2f52bde86ad3421316fd,presidente fvf jorge gimenez anuncio estadio monumental maturin sera sede primer juego vinotinto eliminatorias rumbo mundial 2026,120395,1890,1195,812,0,0,0,0,0,18,808638,2.0,0.0119,0.0119
646d2f52bde86ad3421316fe,llevo anos diciendolo rondon unico delantero q hace cuatro anos merecia ser titular siempre relegado banco josef martinez mald 1ta rosca general 2 inutiles inamovibles,181,352,0,3380,0,0,0,0,0,5,10772,4.0,0.0044,0.0088
646d2f52bde86ad3421316ff,venezuela misma imagino arbitros designa deberian tener mismo criterio cierto entonces si semana pasa argote expulso bryan castillo piscinazo paso aca senor luis salas ademas amonestado,23717,320,234,394,0,0,0,0,0,9,37724,1.0,0.0044,0.0022
646d2f52bde86ad342131700,toma mmg fvf,48,416,2,8970,0,0,0,0,0,4,6193,5.0,0.0052,0.013
646d2f52bde86ad342131701,vieron fvf lavar robado ejemplo madronero zulia,177,708,2,7752,1,0,0,0,1,2,3228,2.0,0.0044,0.0044
646d2f52bde86ad342131702,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,21151,614,62,25479,0,0,0,0,0,47,55133,961.0,3.324,1597.182
646d2f52bde86ad342131703,favor senor presidente hombre mas alla ir mundial trabajo mas importante urgente traigamos hombre daniel brizuela profesional palabra,11,23,0,851,1,0,0,0,1,2,1353,3.0,0.0063999999999999994,0.0096
646d2f52bde86ad342131704,excelente hilo sera pasa lista diferentes equipos 1era division sumen canteras muchachos,206,1130,1,5600,0,0,0,0,0,3,6491,3.0,0.0044,0.0066
646d2f52bde86ad342131705,asi liga fvf hara alcance meter equipo siempre finales asi sido toda historia dice solo tachirenses denuncia casi hinchas futbol venezolano historico,391,3560,1,4129,0,0,0,0,0,2,14535,3.0,0.0121,0.01815
646d2f52bde86ad342131706,siendo elijo puerto cruz ser mayor efectividad,206,1130,1,5600,0,0,0,0,0,3,6491,3.0,0.0044,0.0066
646d2f52bde86ad342131707,venezuela misma imagino arbitros designa deberian tener mismo criterio cierto entonces si semana pasa argote expulso bryan castillo piscinazo paso aca senor luis salas ademas amonestado,388,1486,1,68,0,0,0,0,0,5,61570,5.0,0.0044,0.011000000000000001
646d2f52bde86ad342131708,conocimiento sucedido si sido reves eliminado toda competencia,1103,4995,16,8716,0,0,0,0,0,4,39761,4.0,0.0044,0.0088
646d2f52bde86ad342131709,listo,306,386,8,10749,0,0,0,0,0,4,38181,3.0,0.0221,0.03315
646d2f52bde86ad34213170a,si puedes sigueme poder escribirte,795,1186,7,179,0,0,0,1,1,8,72161,13.0,0.125,0.8125
646d2f52bde86ad34213170b,escribo dm,795,1186,7,179,0,0,0,1,1,8,72161,13.0,0.125,0.8125
646d2f52bde86ad34213170c,si alguna ficha tecnica jugador agradeceria reportaje realizando,306,386,8,10749,0,0,0,1,1,4,38181,3.0,0.0221,0.03315
646d2f52bde86ad34213170d,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,361,1624,1,45865,0,0,0,0,0,7,196986,2.0,0.0044,0.0044
646d2f52bde86ad34213170e,si saben,14912,634,64,15601,4,0,0,1,5,33,11259,288.0,0.8012999999999999,115.38719999999998
646d2f52bde86ad34213170f,foticos vinotinto sub 17 argentina cortesia,1549,1708,20,163626,0,0,0,0,0,54,597951,20.0,0.0044,0.044000000000000004
646d2f52bde86ad342131710,fvf pastilla patrocinador,1,40,0,14,0,0,0,0,0,7,94,8.0,0.0044,0.0176
646d2f52bde86ad342131711,mas alla tener contrato bolivia fvf deberia contactarlo traerlo vuelta daniel brizuela mejores ojeadores continente descubierto grandes talentos hoy brillan europa nota compromiso,361,1136,0,44858,0,0,0,0,0,4,25391,5.0,0.0044,0.011000000000000001
646d2f52bde86ad342131712,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,595,708,0,109159,0,0,0,0,0,9,102186,5.0,0.0044,0.011000000000000001
646d2f52bde86ad342131713,conocimiento sucedido si sido reves eliminado toda competencia,554,2034,4,23105,28,2,0,1,31,3,7351,8.0,0.046900000000000004,0.5209333333333334
646d2f52bde86ad342131714,VAMOS VINOTINTO hoy juegan chamos 530 pm,59015,202,360,5221,33,1,0,0,34,6,68909,41.0,0.3596,7.4551333333333325
646d2f52bde86ad342131715,presidente fvf anuncio estadio maturin sera sede primer juego local vinotinto,447463,494,1807,230,0,0,0,0,0,31,3089668,6.0,0.0225,0.0675
646d2f52bde86ad342131716,presidente fvf jorge gimenez anuncio estadio monumental maturin sera sede primer juego vinotinto eliminatorias rumbo mundial 2026,120395,1890,1195,812,1,1,0,0,2,18,808638,2.0,0.0119,0.03967777777777778
646d2f52bde86ad342131717,mas alla tener contrato bolivia fvf deberia contactarlo traerlo vuelta daniel brizuela mejores ojeadores continente descubierto grandes talentos hoy brillan europa nota compromiso,21,350,0,1596,0,0,0,0,0,9,515,6.0,0.0044,0.0132
646d2f52bde86ad342131718,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,1195,3101,0,63785,0,0,0,0,0,10,88285,6.0,0.0044,0.0132
646d2f52bde86ad342131719,explicaban fvf tenian pagar canales transmitir logico logico canales paguen derechos transmision,1005,4999,5,105950,1,0,0,0,1,15,56522,10.0,0.0177,0.0885
646d2f52bde86ad34213171a,mas alla tener contrato bolivia fvf deberia contactarlo traerlo vuelta daniel brizuela mejores ojeadores continente descubierto grandes talentos hoy brillan europa nota compromiso,824,782,1,1197,0,0,0,0,0,4,12127,6.0,0.0081,0.0243
646d2f52bde86ad34213171b,mala mia metodo assafo tambien usa fvf,21151,614,62,25479,0,0,0,1,1,47,55133,961.0,3.324,1597.182
646d2f52bde86ad34213171c,presidente fvf anuncio estadio maturin sera sede primer juego local vinotinto,447463,494,1807,230,0,0,0,0,0,31,3089668,6.0,0.0225,0.0675
646d2f52bde86ad34213171d,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,371,738,1,12242,0,0,0,0,0,6,21395,2.0,0.0044,0.0044
646d2f52bde86ad34213171e,foto chamo,306,386,8,10749,0,0,0,1,1,4,38181,3.0,0.0221,0.03315
646d2f52bde86ad34213171f,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,114,231,0,7984,0,0,0,0,0,7,9313,7.0,0.032600000000000004,0.11410000000000001
646d2f52bde86ad342131720,jugadores vinotinto futsal haciendo modulos trabajo madrid espana deben viaticos prometidos federacion venezolana futbol fvf trabajos mes febrero comienzos marzo nadie responde,361,1136,0,44858,0,0,0,0,0,4,25391,5.0,0.0044,0.011000000000000001
